,loan_amnt,emp_length,home_ownership,inq_last_6mths,revol_bal,age,tag
513554,20000.0,2.0,0.0,2.0,4658.0,21.0,0.0
811918,6000.0,1.0,0.0,0.0,5529.0,19.0,0.0
686008,8000.0,3.0,1.0,1.0,25131.0,31.0,0.0
899500,20000.0,2.0,1.0,2.0,19554.0,30.0,0.0
922056,10000.0,10.0,0.0,1.0,8320.0,21.0,0.0
339472,18000.0,6.0,1.0,0.0,3377.0,43.0,0.0
3690,14500.0,1.0,0.0,0.0,12356.0,19.0,0.0
687783,7775.0,4.0,0.0,1.0,20117.0,18.0,0.0
299550,23050.0,10.0,0.0,1.0,191.0,18.0,0.0
15341,5100.0,1.0,0.0,1.0,0.0,19.0,0.0
1489666,31525.0,6.0,1.0,0.0,16678.0,34.0,0.0
1166251,4275.0,0.0,0.0,0.0,946.0,18.0,0.0
198759,5000.0,0.0,1.0,0.0,24907.0,48.0,1.0
959094,6000.0,2.0,0.0,0.0,13751.0,19.0,0.0
342213,24000.0,8.0,1.0,2.0,14342.0,38.0,0.0
868822,18450.0,10.0,1.0,2.0,88316.0,27.0,0.0
510198,14000.0,0.0,1.0,0.0,10477.0,22.0,0.0
511615,20800.0,10.0,0.0,1.0,18887.0,32.0,1.0
965121,19600.0,10.0,1.0,2.0,2007.0,46.0,0.0
611026,12450.0,8.0,0.0,1.0,5442.0,24.0,0.0
1561621,4750.0,6.0,1.0,3.0,4431.0,26.0,0.0
218006,7500.0,7.0,0.0,0.0,7971.0,28.0,0.0
870337,17050.0,10.0,1.0,3.0,18335.0,51.0,0.0
209412,25000.0,8.0,1.0,0.0,38246.0,34.0,0.0
1128407,25000.0,7.0,0.0,0.0,12833.0,24.0,0.0
196462,27000.0,0.0,0.0,1.0,7716.0,18.0,0.0
673875,10000.0,10.0,0.0,0.0,6704.0,32.0,0.0
1600837,6000.0,10.0,1.0,0.0,9309.0,22.0,0.0
1626992,5000.0,10.0,1.0,0.0,14930.0,28.0,0.0
91550,12000.0,10.0,1.0,2.0,8060.0,38.0,0.0
76758,3000.0,0.0,0.0,0.0,2228.0,18.0,0.0
65723,4225.0,10.0,1.0,0.0,51514.0,20.0,0.0
219707,13025.0,10.0,0.0,0.0,5243.0,34.0,0.0
80746,24000.0,10.0,1.0,0.0,8150.0,38.0,0.0
430489,8275.0,10.0,0.0,2.0,11357.0,25.0,0.0
1187147,16325.0,10.0,0.0,1.0,2825.0,25.0,0.0
929879,35000.0,10.0,0.0,1.0,15108.0,32.0,0.0
1343211,35000.0,10.0,0.0,0.0,21656.0,22.0,1.0
626631,16000.0,10.0,1.0,0.0,26542.0,36.0,0.0
465185,25000.0,2.0,1.0,0.0,11347.0,36.0,0.0
906171,15000.0,2.0,1.0,3.0,4385.0,21.0,0.0
71854,10100.0,6.0,1.0,0.0,3420.0,43.0,0.0
1522890,21000.0,10.0,0.0,0.0,16553.0,33.0,0.0
577506,8375.0,0.0,1.0,0.0,14985.0,26.0,0.0
1495793,10000.0,0.0,0.0,2.0,7642.0,22.0,1.0
1555190,14475.0,5.0,1.0,0.0,2739.0,27.0,0.0
984253,14400.0,1.0,0.0,0.0,15284.0,19.0,0.0
1559085,8400.0,5.0,1.0,2.0,15238.0,42.0,0.0
671757,3500.0,6.0,1.0,0.0,8254.0,55.0,1.0
322986,18000.0,9.0,1.0,1.0,502.0,41.0,0.0
97910,10600.0,10.0,1.0,2.0,27210.0,44.0,1.0
386824,12500.0,10.0,0.0,0.0,8426.0,20.0,0.0
311247,10000.0,10.0,1.0,0.0,8951.0,61.0,1.0
157449,13000.0,4.0,1.0,2.0,7531.0,34.0,1.0
238809,9000.0,6.0,1.0,0.0,10362.0,39.0,1.0
310393,12000.0,2.0,0.0,0.0,5036.0,18.0,0.0
934293,25000.0,3.0,1.0,0.0,12948.0,33.0,0.0
495591,28000.0,3.0,1.0,2.0,18513.0,28.0,0.0
144771,25000.0,0.0,0.0,4.0,22192.0,18.0,0.0
1408311,8000.0,2.0,0.0,1.0,695.0,21.0,0.0
446901,10000.0,1.0,0.0,2.0,10480.0,18.0,0.0
968416,5600.0,3.0,1.0,3.0,4204.0,24.0,0.0
1521821,30000.0,10.0,1.0,0.0,43364.0,34.0,0.0
781193,8000.0,3.0,1.0,0.0,1967.0,36.0,1.0
892614,4000.0,0.0,0.0,1.0,5562.0,30.0,1.0
499893,6000.0,9.0,1.0,0.0,4882.0,36.0,0.0
266909,8000.0,3.0,0.0,0.0,3629.0,35.0,1.0
1541093,24000.0,10.0,0.0,0.0,5408.0,27.0,0.0
784515,15000.0,2.0,0.0,0.0,8915.0,25.0,1.0
351867,14900.0,7.0,0.0,0.0,20659.0,19.0,0.0
102089,35000.0,2.0,1.0,0.0,5806.0,30.0,0.0
906855,14000.0,6.0,1.0,1.0,11601.0,34.0,0.0
389236,12000.0,0.0,1.0,0.0,10878.0,33.0,0.0
168655,20000.0,10.0,1.0,0.0,14957.0,29.0,0.0
964871,10000.0,0.0,1.0,0.0,5174.0,29.0,0.0
1334129,5000.0,10.0,1.0,0.0,2386.0,41.0,0.0
94249,10000.0,3.0,0.0,2.0,9741.0,20.0,0.0
144245,5950.0,1.0,1.0,1.0,3295.0,35.0,0.0
1177974,20000.0,5.0,1.0,1.0,13649.0,41.0,1.0
872799,10000.0,10.0,0.0,1.0,6359.0,20.0,0.0
677067,14475.0,4.0,1.0,1.0,9279.0,37.0,0.0
816815,14825.0,5.0,0.0,1.0,5096.0,24.0,0.0
325083,10225.0,10.0,1.0,1.0,6205.0,30.0,0.0
175623,24000.0,6.0,1.0,0.0,15990.0,42.0,1.0
1166384,31575.0,8.0,0.0,0.0,42572.0,27.0,0.0
1171937,25000.0,6.0,0.0,1.0,5191.0,23.0,0.0
532106,30000.0,10.0,0.0,0.0,7030.0,19.0,0.0
982783,20000.0,3.0,1.0,0.0,11932.0,25.0,0.0
134185,12000.0,6.0,0.0,1.0,5281.0,27.0,0.0
1558148,20000.0,3.0,1.0,0.0,54124.0,23.0,0.0
479491,15000.0,10.0,0.0,1.0,14108.0,21.0,1.0
399797,6500.0,9.0,1.0,0.0,7038.0,38.0,0.0
107951,5000.0,3.0,1.0,2.0,9477.0,31.0,0.0
139384,12000.0,4.0,1.0,1.0,15285.0,24.0,0.0
452983,6375.0,3.0,0.0,0.0,3188.0,20.0,0.0
1145322,3500.0,1.0,0.0,0.0,1733.0,18.0,0.0
1642175,10000.0,10.0,1.0,0.0,9328.0,39.0,0.0
181210,8000.0,9.0,1.0,1.0,11471.0,27.0,1.0
872279,22000.0,2.0,1.0,0.0,22076.0,38.0,0.0
602636,14000.0,1.0,1.0,0.0,26351.0,23.0,1.0
1143957,5400.0,1.0,1.0,1.0,5928.0,27.0,0.0
992505,11300.0,10.0,1.0,0.0,11609.0,30.0,0.0
898213,9700.0,5.0,1.0,0.0,21248.0,41.0,0.0
515753,11950.0,6.0,1.0,0.0,13279.0,30.0,0.0
79148,12200.0,7.0,0.0,0.0,17827.0,20.0,0.0
560271,18400.0,10.0,1.0,1.0,23550.0,43.0,0.0
280188,10000.0,10.0,1.0,0.0,2426.0,23.0,0.0
648345,24000.0,10.0,0.0,2.0,13007.0,29.0,0.0
669766,23975.0,8.0,0.0,3.0,20664.0,27.0,0.0
354434,30000.0,3.0,0.0,1.0,5242.0,22.0,0.0
80402,18000.0,4.0,1.0,0.0,6311.0,39.0,0.0
207815,6000.0,1.0,1.0,0.0,5479.0,20.0,0.0
64125,6500.0,4.0,0.0,0.0,7410.0,19.0,0.0
1371831,18000.0,10.0,1.0,1.0,19364.0,24.0,0.0
688154,30000.0,10.0,1.0,1.0,22818.0,36.0,1.0
958416,35000.0,3.0,1.0,0.0,34366.0,38.0,0.0
1496024,18000.0,10.0,1.0,1.0,19063.0,23.0,0.0
637980,9650.0,6.0,0.0,1.0,7866.0,30.0,1.0
139935,35000.0,4.0,1.0,0.0,25692.0,54.0,1.0
817370,22000.0,5.0,1.0,1.0,17910.0,26.0,0.0
650005,13375.0,9.0,1.0,0.0,17598.0,34.0,0.0
449743,35000.0,3.0,1.0,1.0,33824.0,27.0,0.0
1536851,24000.0,7.0,1.0,1.0,34438.0,26.0,0.0
237730,35000.0,7.0,1.0,2.0,28240.0,37.0,0.0
270913,20000.0,10.0,0.0,1.0,26330.0,22.0,0.0
882847,12000.0,1.0,0.0,0.0,9239.0,18.0,0.0
19621,9950.0,3.0,0.0,0.0,8620.0,21.0,0.0
414737,12000.0,10.0,1.0,0.0,12049.0,40.0,0.0
588368,21950.0,10.0,0.0,1.0,8000.0,31.0,0.0
258025,3000.0,5.0,0.0,2.0,4081.0,24.0,1.0
393857,10000.0,10.0,1.0,1.0,9470.0,32.0,0.0
839555,12525.0,7.0,1.0,0.0,34418.0,46.0,1.0
232748,12000.0,10.0,0.0,0.0,33850.0,27.0,0.0
155120,9450.0,0.0,0.0,2.0,8314.0,18.0,0.0
25532,26850.0,10.0,0.0,0.0,12175.0,30.0,0.0
95511,3000.0,2.0,0.0,1.0,166.0,21.0,0.0
562307,11200.0,4.0,0.0,4.0,22560.0,21.0,0.0
1429598,30000.0,4.0,0.0,0.0,50451.0,27.0,1.0
1395759,10000.0,2.0,1.0,2.0,4628.0,36.0,0.0
633493,23725.0,9.0,1.0,0.0,28030.0,24.0,0.0
1558627,30000.0,3.0,1.0,0.0,34431.0,30.0,0.0
1581162,14725.0,6.0,1.0,0.0,3985.0,21.0,0.0
1359963,30000.0,9.0,1.0,1.0,18646.0,21.0,0.0
373410,10000.0,8.0,0.0,1.0,7569.0,26.0,0.0
40818,6000.0,10.0,0.0,1.0,8432.0,22.0,0.0
1497056,5050.0,2.0,1.0,0.0,11849.0,18.0,0.0
1490997,9875.0,10.0,1.0,0.0,20725.0,42.0,0.0
404868,25000.0,10.0,1.0,2.0,16570.0,35.0,0.0
263792,4000.0,1.0,0.0,0.0,3239.0,36.0,1.0
1576391,10500.0,7.0,0.0,0.0,29897.0,25.0,0.0
986668,25475.0,2.0,0.0,0.0,33633.0,19.0,0.0
129136,16825.0,0.0,1.0,0.0,7595.0,35.0,1.0
602001,4000.0,10.0,1.0,1.0,5700.0,26.0,0.0
33266,28000.0,0.0,1.0,0.0,36804.0,43.0,1.0
529629,20000.0,10.0,1.0,1.0,7430.0,48.0,0.0
253884,15000.0,4.0,0.0,0.0,8212.0,19.0,0.0
191192,23750.0,6.0,1.0,1.0,11276.0,43.0,0.0
1542079,15000.0,10.0,1.0,2.0,10293.0,40.0,0.0
1588782,31150.0,10.0,1.0,0.0,30447.0,48.0,0.0
963515,20000.0,7.0,1.0,1.0,14745.0,32.0,0.0
1478798,13500.0,5.0,1.0,0.0,7752.0,26.0,1.0
275578,4000.0,10.0,1.0,4.0,946.0,36.0,0.0
602372,25000.0,6.0,1.0,1.0,32245.0,18.0,0.0
96244,24425.0,2.0,0.0,0.0,19842.0,18.0,0.0
472400,5275.0,3.0,0.0,0.0,11631.0,22.0,0.0
59712,11200.0,5.0,0.0,0.0,2494.0,22.0,0.0
72105,16800.0,10.0,0.0,1.0,7266.0,31.0,0.0
845056,32000.0,0.0,0.0,1.0,27755.0,18.0,0.0
965390,23500.0,10.0,1.0,0.0,35637.0,28.0,0.0
191135,20000.0,2.0,0.0,1.0,11013.0,19.0,0.0
965149,7700.0,10.0,1.0,1.0,13439.0,19.0,0.0
214346,30000.0,2.0,0.0,0.0,38052.0,20.0,0.0
1065792,7000.0,2.0,1.0,0.0,6232.0,24.0,1.0
1281486,10500.0,2.0,1.0,1.0,3156.0,55.0,1.0
53413,17050.0,8.0,1.0,1.0,5593.0,28.0,0.0
932289,21000.0,6.0,0.0,2.0,14508.0,19.0,0.0
589454,10000.0,10.0,1.0,1.0,15439.0,37.0,0.0
970837,1800.0,1.0,0.0,2.0,26249.0,21.0,1.0
187738,18000.0,10.0,1.0,0.0,20879.0,40.0,0.0
892195,5875.0,5.0,1.0,1.0,7416.0,51.0,1.0
985677,3500.0,3.0,0.0,0.0,4317.0,19.0,0.0
1065774,33250.0,5.0,1.0,2.0,39951.0,38.0,0.0
604593,8000.0,3.0,0.0,0.0,8556.0,21.0,0.0
297044,28000.0,2.0,1.0,1.0,6702.0,28.0,0.0
1174569,20000.0,1.0,0.0,0.0,4377.0,19.0,0.0
226830,7200.0,10.0,1.0,0.0,4648.0,44.0,0.0
808920,20000.0,2.0,1.0,1.0,7331.0,19.0,0.0
119678,9275.0,0.0,0.0,1.0,9050.0,18.0,0.0
1639985,3500.0,0.0,1.0,2.0,2394.0,22.0,0.0
1426545,24000.0,6.0,0.0,0.0,19964.0,28.0,1.0
911752,28000.0,10.0,1.0,0.0,40852.0,40.0,0.0
56950,20800.0,10.0,0.0,0.0,12044.0,30.0,0.0
1623280,7700.0,10.0,0.0,1.0,694.0,30.0,0.0
159374,8400.0,5.0,0.0,2.0,8433.0,24.0,0.0
349976,7000.0,2.0,1.0,1.0,10685.0,33.0,0.0
394388,30000.0,10.0,1.0,4.0,50104.0,30.0,0.0
1072470,30400.0,10.0,1.0,2.0,53811.0,27.0,0.0
1567871,8000.0,1.0,0.0,0.0,263.0,19.0,0.0
493296,22800.0,10.0,1.0,0.0,17840.0,36.0,0.0
1423261,22075.0,10.0,0.0,0.0,6641.0,32.0,0.0
372502,7025.0,10.0,1.0,2.0,2710.0,25.0,0.0
1594981,35000.0,10.0,1.0,0.0,12272.0,43.0,0.0
650935,15000.0,10.0,1.0,1.0,5174.0,51.0,0.0
1382219,3000.0,2.0,0.0,3.0,5329.0,19.0,0.0
485328,7000.0,10.0,0.0,0.0,720.0,23.0,0.0
1557088,8000.0,0.0,0.0,0.0,9163.0,18.0,0.0
983936,25000.0,10.0,0.0,0.0,14459.0,40.0,1.0
436566,10800.0,10.0,0.0,2.0,8680.0,33.0,0.0
370036,24000.0,10.0,1.0,0.0,30117.0,45.0,0.0
79275,22000.0,10.0,1.0,2.0,3042.0,40.0,0.0
988286,14825.0,7.0,1.0,1.0,33139.0,38.0,0.0
205076,7800.0,3.0,0.0,0.0,16940.0,20.0,0.0
913738,16000.0,10.0,0.0,1.0,22767.0,28.0,0.0
251906,6000.0,1.0,0.0,2.0,2699.0,18.0,0.0
494513,24500.0,9.0,1.0,0.0,29475.0,33.0,0.0
340711,15600.0,1.0,0.0,1.0,248.0,19.0,0.0
599324,8275.0,4.0,0.0,1.0,1230.0,24.0,0.0
830048,18000.0,10.0,1.0,0.0,17070.0,35.0,0.0
1639329,2875.0,4.0,0.0,0.0,8069.0,41.0,1.0
95743,10000.0,10.0,0.0,1.0,8672.0,24.0,0.0
989385,9000.0,7.0,1.0,0.0,5689.0,52.0,1.0
1361477,18000.0,10.0,0.0,0.0,44696.0,24.0,0.0
681493,3000.0,8.0,1.0,2.0,108964.0,33.0,1.0
47852,19475.0,10.0,1.0,1.0,49499.0,41.0,0.0
583501,4800.0,10.0,1.0,0.0,15147.0,34.0,0.0
63375,7850.0,8.0,0.0,1.0,8468.0,22.0,0.0
956846,33600.0,1.0,0.0,2.0,54491.0,18.0,0.0
254222,15000.0,7.0,1.0,1.0,2849.0,28.0,0.0
602785,7125.0,2.0,0.0,1.0,8493.0,19.0,0.0
694863,7375.0,8.0,1.0,0.0,12752.0,33.0,1.0
907029,23675.0,10.0,0.0,2.0,17646.0,27.0,0.0
542995,14400.0,2.0,0.0,1.0,4691.0,19.0,0.0
112800,15000.0,8.0,1.0,0.0,14197.0,32.0,0.0
907499,10750.0,8.0,0.0,3.0,4286.0,19.0,0.0
71345,8000.0,10.0,0.0,3.0,5036.0,28.0,0.0
215439,8500.0,5.0,0.0,1.0,3330.0,26.0,0.0
49175,15000.0,9.0,1.0,1.0,32015.0,18.0,1.0
14857,16000.0,10.0,1.0,0.0,17210.0,67.0,1.0
236752,18500.0,1.0,0.0,1.0,5482.0,19.0,0.0
1576144,6000.0,10.0,1.0,2.0,115854.0,43.0,0.0
1574586,10000.0,2.0,1.0,1.0,6117.0,45.0,1.0
847798,8400.0,9.0,1.0,3.0,12296.0,22.0,0.0
50346,15000.0,10.0,0.0,0.0,15385.0,27.0,0.0
142809,35000.0,10.0,1.0,1.0,8693.0,34.0,0.0
1625138,18000.0,9.0,0.0,0.0,15760.0,31.0,0.0
351712,7000.0,8.0,1.0,2.0,12450.0,31.0,0.0
43708,13700.0,8.0,1.0,1.0,18303.0,20.0,0.0
636883,16000.0,3.0,0.0,0.0,1467.0,21.0,0.0
586251,15250.0,9.0,1.0,2.0,2540.0,20.0,0.0
981942,8000.0,10.0,1.0,0.0,1083.0,27.0,0.0
1538227,15000.0,10.0,0.0,0.0,22732.0,26.0,0.0
64587,14000.0,5.0,0.0,1.0,10344.0,20.0,0.0
1169578,17400.0,6.0,0.0,0.0,2029.0,20.0,0.0
444671,11000.0,5.0,0.0,0.0,10157.0,27.0,1.0
638899,20000.0,10.0,0.0,2.0,2195.0,27.0,0.0
694966,35000.0,9.0,1.0,0.0,59056.0,58.0,1.0
103147,2400.0,3.0,0.0,1.0,620.0,19.0,0.0
51314,10000.0,10.0,1.0,2.0,8607.0,25.0,0.0
1543825,10000.0,1.0,0.0,1.0,7218.0,18.0,0.0
230234,30000.0,0.0,0.0,2.0,34130.0,18.0,0.0
881592,6250.0,0.0,0.0,0.0,5088.0,18.0,0.0
558505,18000.0,2.0,1.0,0.0,19660.0,23.0,0.0
901443,2000.0,1.0,0.0,2.0,9535.0,19.0,0.0
680886,6725.0,9.0,1.0,1.0,0.0,41.0,0.0
846659,12000.0,10.0,1.0,0.0,7597.0,40.0,1.0
670962,12000.0,10.0,1.0,0.0,1783.0,20.0,0.0
217051,18000.0,10.0,0.0,0.0,18541.0,26.0,0.0
472611,33825.0,10.0,1.0,0.0,27914.0,22.0,0.0
203291,7500.0,5.0,0.0,1.0,23631.0,19.0,0.0
112855,12800.0,3.0,1.0,0.0,9164.0,31.0,0.0
1589121,30050.0,2.0,1.0,3.0,37898.0,34.0,0.0
828996,10000.0,10.0,1.0,2.0,5845.0,37.0,0.0
77886,30000.0,3.0,0.0,0.0,13070.0,19.0,0.0
1188256,20000.0,5.0,1.0,0.0,6800.0,41.0,0.0
14363,35000.0,0.0,0.0,0.0,2862.0,18.0,0.0
905979,12500.0,5.0,0.0,0.0,7805.0,24.0,0.0
853057,18400.0,8.0,1.0,0.0,20678.0,18.0,0.0
989650,15000.0,5.0,0.0,0.0,15101.0,23.0,0.0
597148,11425.0,0.0,0.0,0.0,3308.0,18.0,0.0
641092,15000.0,7.0,0.0,0.0,11923.0,26.0,0.0
20136,12000.0,6.0,1.0,0.0,18320.0,43.0,0.0
1645618,35000.0,0.0,0.0,1.0,83675.0,18.0,0.0
856961,10000.0,8.0,1.0,0.0,24799.0,40.0,0.0
1175282,6000.0,10.0,1.0,0.0,141968.0,40.0,0.0
1324025,18375.0,1.0,0.0,0.0,46434.0,19.0,0.0
349453,23000.0,10.0,1.0,1.0,67450.0,19.0,0.0
1328665,24175.0,1.0,0.0,0.0,8600.0,19.0,0.0
1593387,18000.0,10.0,1.0,0.0,692.0,35.0,0.0
605129,15000.0,10.0,0.0,0.0,48467.0,31.0,0.0
1640748,9000.0,3.0,0.0,0.0,10332.0,38.0,1.0
1400606,15000.0,10.0,1.0,3.0,11642.0,20.0,1.0
115203,5500.0,5.0,1.0,1.0,7606.0,40.0,0.0
239950,10000.0,5.0,0.0,1.0,6261.0,42.0,1.0
612960,16000.0,6.0,1.0,2.0,4933.0,23.0,0.0
530407,12000.0,10.0,0.0,2.0,6607.0,20.0,0.0
304789,35000.0,0.0,0.0,0.0,48118.0,18.0,0.0
280797,26000.0,3.0,1.0,2.0,21059.0,28.0,0.0
833726,5000.0,2.0,0.0,2.0,1018.0,33.0,1.0
951016,9750.0,1.0,1.0,1.0,11672.0,31.0,1.0
352248,6000.0,10.0,1.0,1.0,14840.0,29.0,0.0
210922,30000.0,3.0,1.0,1.0,23222.0,37.0,1.0
204965,9600.0,10.0,0.0,1.0,10958.0,26.0,0.0
135355,28500.0,0.0,1.0,0.0,37186.0,35.0,0.0
1272299,29000.0,10.0,1.0,0.0,25364.0,58.0,1.0
205154,1000.0,2.0,0.0,0.0,9743.0,28.0,1.0
901078,25000.0,3.0,1.0,2.0,5609.0,46.0,1.0
216107,5975.0,3.0,0.0,2.0,5341.0,20.0,0.0
269276,5000.0,10.0,1.0,0.0,1885.0,40.0,0.0
556752,15800.0,4.0,1.0,0.0,32350.0,39.0,0.0
958869,4000.0,5.0,1.0,1.0,19466.0,22.0,0.0
432553,16000.0,10.0,1.0,0.0,13979.0,41.0,0.0
276599,24000.0,10.0,1.0,4.0,388892.0,36.0,0.0
51204,28900.0,3.0,0.0,0.0,8202.0,21.0,0.0
817515,12000.0,9.0,1.0,0.0,3985.0,29.0,1.0
978295,13250.0,2.0,0.0,0.0,4253.0,21.0,0.0
683047,12725.0,2.0,0.0,1.0,7745.0,20.0,0.0
412277,10000.0,3.0,0.0,0.0,8119.0,23.0,0.0
414010,35000.0,4.0,1.0,1.0,32806.0,36.0,0.0
101242,12000.0,10.0,1.0,0.0,11785.0,62.0,1.0
975185,7000.0,0.0,0.0,1.0,6912.0,27.0,1.0
891954,18000.0,5.0,1.0,2.0,23076.0,37.0,0.0
867721,10000.0,5.0,1.0,0.0,30304.0,35.0,0.0
357003,12500.0,10.0,0.0,1.0,7880.0,28.0,0.0
284561,8000.0,10.0,1.0,0.0,2087.0,25.0,0.0
1060199,28000.0,5.0,1.0,4.0,25558.0,27.0,1.0
846776,16800.0,10.0,1.0,0.0,13593.0,40.0,0.0
179964,25000.0,0.0,1.0,2.0,12774.0,30.0,0.0
469474,10000.0,9.0,1.0,0.0,10175.0,27.0,0.0
926758,7675.0,2.0,0.0,0.0,14520.0,19.0,0.0
199391,19200.0,8.0,0.0,1.0,1449.0,33.0,1.0
871156,21000.0,2.0,1.0,0.0,50131.0,20.0,0.0
243192,28000.0,10.0,0.0,2.0,15856.0,22.0,0.0
157176,16800.0,2.0,0.0,0.0,17010.0,19.0,0.0
562653,30000.0,10.0,1.0,0.0,29792.0,25.0,0.0
19067,15000.0,5.0,1.0,0.0,4728.0,42.0,0.0
1536815,8000.0,10.0,1.0,0.0,7447.0,37.0,1.0
1328468,1000.0,2.0,1.0,0.0,4627.0,45.0,1.0
811376,12000.0,10.0,0.0,0.0,18733.0,27.0,0.0
181666,20550.0,10.0,1.0,0.0,1368.0,25.0,0.0
94570,20000.0,10.0,1.0,0.0,64727.0,37.0,0.0
633913,13200.0,5.0,0.0,0.0,9461.0,24.0,0.0
601619,33300.0,0.0,0.0,0.0,15307.0,18.0,0.0
1440886,9600.0,1.0,1.0,1.0,14264.0,34.0,0.0
538966,31275.0,8.0,0.0,0.0,22584.0,24.0,0.0
121096,16200.0,2.0,1.0,1.0,7016.0,23.0,0.0
1614787,21000.0,5.0,1.0,1.0,37877.0,27.0,1.0
541989,19825.0,0.0,1.0,0.0,18713.0,19.0,0.0
827067,12000.0,10.0,1.0,2.0,208939.0,46.0,0.0
1440346,5000.0,5.0,1.0,2.0,11640.0,31.0,0.0
45057,20000.0,10.0,0.0,0.0,10645.0,27.0,0.0
380258,10000.0,10.0,1.0,1.0,4264.0,25.0,0.0
66415,8000.0,2.0,0.0,1.0,3151.0,20.0,0.0
12945,20325.0,3.0,0.0,0.0,16590.0,33.0,1.0
86341,25700.0,10.0,1.0,0.0,40618.0,26.0,0.0
244617,9000.0,4.0,0.0,2.0,8225.0,19.0,0.0
870770,10500.0,4.0,0.0,0.0,7760.0,19.0,0.0
1364601,8000.0,1.0,1.0,2.0,12524.0,33.0,0.0
627752,10000.0,7.0,0.0,0.0,18875.0,22.0,0.0
477495,12000.0,10.0,1.0,1.0,7229.0,23.0,0.0
561252,14000.0,2.0,1.0,3.0,9284.0,23.0,0.0
387158,28000.0,2.0,1.0,4.0,30563.0,21.0,1.0
407882,25000.0,10.0,1.0,1.0,15654.0,49.0,0.0
867657,23000.0,10.0,1.0,1.0,27984.0,45.0,0.0
120704,30000.0,10.0,0.0,0.0,18905.0,22.0,0.0
264533,5000.0,2.0,0.0,1.0,0.0,32.0,1.0
588269,10000.0,0.0,0.0,2.0,2095.0,18.0,0.0
1563179,12675.0,7.0,1.0,1.0,5886.0,21.0,1.0
961643,14000.0,0.0,0.0,0.0,6635.0,18.0,0.0
577898,17000.0,10.0,1.0,0.0,6729.0,40.0,0.0
890650,20000.0,2.0,0.0,1.0,39406.0,19.0,0.0
417958,16000.0,10.0,1.0,0.0,10138.0,21.0,0.0
450977,6400.0,10.0,1.0,2.0,13255.0,39.0,0.0
831870,20000.0,10.0,1.0,0.0,34819.0,32.0,0.0
955408,24075.0,10.0,0.0,3.0,22132.0,25.0,0.0
144598,8875.0,10.0,0.0,1.0,6589.0,27.0,0.0
627408,33825.0,3.0,1.0,0.0,19301.0,29.0,0.0
346475,12000.0,10.0,0.0,1.0,5913.0,22.0,0.0
974966,29700.0,1.0,1.0,1.0,27697.0,34.0,1.0
444191,25000.0,10.0,0.0,0.0,44308.0,20.0,0.0
144034,18000.0,6.0,1.0,1.0,12016.0,30.0,0.0
22405,35000.0,10.0,1.0,0.0,109883.0,38.0,0.0
914371,35000.0,5.0,1.0,0.0,31824.0,27.0,0.0
